NestID,Chaos,Sub,Bifurc,Sideb,Sideb3,Biphon,JumpUP,JumpDown,Jumps,modup,moddown,softcomp,loudcomp,Fledged,weeksold,max_age,Julian_Date
Starfish,0.3,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0,,,,,1,10,,43239
Starfish,1.0,0.4,0.2,1.0,0.9,0.4,0.2,0.1,0.2,,,,,1,12,,43252
Starfish,0.9,0.1,0.0,0.9,0.7,0.5,0.1,0.1,0.1,,,,,1,12,,43254
Curved17,0.9,0.7,0.1,0.6,0.2,0.6,0.3,0.1,0.2,,,,,1,8,,42864
Curved17,0.3,0.5,0.0,0.3,0.0,0.8,0.1,0.0,0.1,,,,,1,9,,42872
Curved17,0.3,0.6,0.0,0.3,0.0,0.6,0.1,0.2,0.1,,,,,1,10,,42878
Curved17,0.2,0.1,0.0,0.2,0.0,0.2,0.0,0.0,0.0,,,,,1,11,,42885
Curved17,0.9,0.2,0.0,0.3,0.0,0.8,0.2,0.3,0.2,,,,,1,12,,42890
Tallest17,0.5,0.3,0.0,0.3,0.0,0.4,0.2,0.0,0.1,,,,,1,9,,42961
Tallest17,0.3,0.2,0.0,0.3,0.0,0.2,0.5,0.0,0.3,,,,,1,10,,42969
Tallest17,0.6,0.6,0.0,0.4,0.1,0.4,0.3,0.1,0.2,,,,,1,11,,42976
